person,num_credits,potential_percent,def_percent,snl_percent,year_start,year_end,num_seasons_total,num_seasons_writer,num_seasons_headwriter,num_seasons_actor,num_seasons_rep,num_seasons_featured,num_seasons_middle,num_seasons_weekend_update,num_episodes_weekend_updates,best_of,num_episodes_hosted,imdb_link,num_episodes_writer,num_episodes_actor,num_episodes_other,coefficient
Chris Kattan,176,0.7045454545454546,0.24431818181818182,0.03409090909090909,1996.0,2003.0,7.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,https://www.imdb.com/name/nm0441592/?ref_=fn_nm_nm_1,0.0,148.0,4.0,0.1283410347663103
Taran Killam,107,0.8598130841121495,0.22429906542056074,0.06542056074766354,2010.0,2016.0,6.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0453115/?ref_=fn_nm_nm_1,0.0,128.0,0.0,0.1108389845649522
David Koechner,290,0.6793103448275862,0.04482758620689655,0.02413793103448276,1995.0,1996.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0462712/?ref_=fn_nm_nm_1,0.0,21.0,0.0,0.093708955745613
Gary Kroeger,43,0.5116279069767442,0.09302325581395349,0,1982.0,1985.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0471856/?ref_=fn_nm_nm_1,0.0,56.0,1.0,0.1002725408403439
Matthew Laurance,41,0.24390243902439024,0.024390243902439025,0,1980.0,1981.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0491005/?ref_=fn_nm_nm_1,0.0,9.0,1.0,0.0872248374542658
Julia Louis-Dreyfus,235,0.8127659574468085,0.08936170212765958,0.059574468085106386,1982.0,1985.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,https://www.imdb.com/name/nm0000506/?ref_=fn_nm_nm_1,0.0,57.0,3.0,0.1004532637319102
Jon Lovitz,293,0.6996587030716723,0.13993174061433447,0.04436860068259386,1985.0,1990.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,https://www.imdb.com/name/nm0001484/?ref_=fn_nm_nm_1,0.0,91.0,10.0,0.1070551839854582
Michael McKean,353,0.6543909348441926,0.028328611898016998,0.0056657223796034,1994.0,1995.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm0571106/?ref_=fn_nm_nm_1,0.0,27.0,3.0,0.1845468527883293
Mark McKinney,119,0.48739495798319327,0.15126050420168066,0.04201680672268908,1985.0,1997.0,12.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0571897/?ref_=fn_nm_nm_1,0.0,70.0,2.0,0.0441378084873342
Kate McKinnon,123,0.8617886178861789,0.25203252032520324,0.11382113821138211,2012.0,2021.0,10.0,0.0,0.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0571952/?ref_=fn_nm_nm_1,0.0,194.0,0.0,0.1240742233926033
Tim Meadows,205,0.848780487804878,0.2682926829268293,0.07317073170731707,1991.0,2000.0,10.0,1.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,https://www.imdb.com/name/nm0005218/?ref_=fn_nm_nm_1,20.0,183.0,7.0,0.1262899955722309
Laurie Metcalf,160,0.625,0.0375,0.03125,1981.0,1981.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0582418/?ref_=fn_nm_nm_1,0.0,1.0,1.0,0.0862171704225023
John Milhiser,67,0.4925373134328358,0.07462686567164178,0.014925373134328358,2013.0,2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm2275887/?ref_=fn_nm_nm_1,0.0,21.0,0.0,0.088708955745613
Jerry Minor,122,0.7786885245901639,0.07377049180327869,0.03278688524590164,2000.0,2001.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0591576/?ref_=fn_nm_nm_1,20.0,20.0,0.0,0.0909926359208594
Finesse Mitchell,87,0.6436781609195402,0.10344827586206896,0.05747126436781609,2003.0,2006.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm1459509/?ref_=fn_nm_nm_1,0.0,59.0,0.0,0.097289700387624
Alex Moffat,24,0.8333333333333334,0.2916666666666667,0.041666666666666664,2016.0,2021.0,5.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm5803981/?ref_=fn_nm_nm_1,0.0,105.0,0.0,0.106544778728065
Jay Mohr,192,0.5729166666666666,0.08333333333333333,0.015625,1993.0,1995.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0001542/?ref_=fn_nm_nm_1,20.0,39.0,0.0,0.0944496749085316
Kyle Mooney,58,0.7586206896551724,0.22413793103448276,0.017241379310344827,2013.0,2021.0,8.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm3324982/?ref_=fn_nm_nm_1,0.0,168.0,0.0,0.1184216459649041
Tracy Morgan,265,0.7660377358490567,0.19622641509433963,0.0830188679245283,1996.0,2003.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,https://www.imdb.com/name/nm0605079/?ref_=fn_nm_nm_1,0.0,141.0,13.0,0.1155629092773414
Bobby Moynihan,209,0.8038277511961722,0.19138755980861244,0.06698564593301436,2008.0,2017.0,9.0,0.0,0.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm1293885/?ref_=fn_nm_nm_1,0.0,193.0,0.0,0.1227733241152877
Eddie Murphy,339,0.6460176991150443,0.07669616519174041,0.011799410029498525,1980.0,1984.0,4.0,2.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,https://www.imdb.com/name/nm0000552/?ref_=fn_nm_nm_1,39.0,66.0,5.0,0.1061542786231968
Mike Myers,288,0.78125,0.16319444444444445,0.03125,1989.0,1995.0,6.0,2.0,0.0,7.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,https://www.imdb.com/name/nm0000196/?ref_=fn_nm_nm_1,32.0,117.0,5.0,0.1442791086978474
Laraine Newman,309,0.6310679611650486,0.13268608414239483,0.032362459546925564,1975.0,1980.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0628170/?ref_=fn_nm_nm_1,0.0,103.0,4.0,0.1084023909953158
Don Novello,89,0.5842696629213483,0.15730337078651685,0.0449438202247191,1977.0,1986.0,4.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm0637038/?ref_=fn_nm_nm_1,71.0,39.0,0.0,0.0602219127962527
Luke Null,6,0.8333333333333334,0.3333333333333333,0,2017.0,2018.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm3760937/?ref_=fn_nm_nm_1,0.0,21.0,0.0,0.088708955745613
Ego Nwodim,22,0.5909090909090909,0.18181818181818182,0.045454545454545456,2018.0,2021.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm4945455/?ref_=fn_nm_nm_1,0.0,63.0,0.0,0.0977935339035057
Michael Patrick O'Brien (II) ,36,1.0,0.4166666666666667,0.2222222222222222,2013.0,2015.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm3653190/?ref_=fn_nm_nm_1,103.0,44.0,0.0,0.0625794668033837
Cheri Oteri,154,0.6753246753246753,0.2012987012987013,0.025974025974025976,1995.0,2000.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,https://www.imdb.com/name/nm0652783/?ref_=fn_nm_nm_1,0.0,98.0,2.0,0.1077178345878679
Chris Parnell,236,0.75,0.211864406779661,0.06779661016949153,1998.0,2006.0,8.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0663177/?ref_=fn_nm_nm_1,0.0,148.0,3.0,0.1166096251543893
Nasim Pedrad,55,0.8727272727272727,0.36363636363636365,0.05454545454545454,2009.0,2014.0,5.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm1840659/?ref_=fn_nm_nm_1,0.0,109.0,0.0,0.1070486122439467
Jay Pharoah,129,0.751937984496124,0.16279069767441862,0.03875968992248062,2010.0,2016.0,6.0,0.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm3982894/?ref_=fn_nm_nm_1,0.0,128.0,0.0,0.1108389845649522
Emily Prager,5,0.6,0.4,0.2,1981.0,1981.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0695104/?ref_=fn_nm_nm_1,0.0,4.0,1.0,0.0865950455594136
Randy Quaid,132,0.3333333333333333,0.045454545454545456,0.015151515151515152,1985.0,1986.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0001642/?ref_=fn_nm_nm_1,0.0,18.0,1.0,0.0933584628649996
Gilda Radner,97,0.7835051546391752,0.4329896907216495,0.09278350515463918,1975.0,1980.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,https://www.imdb.com/name/nm0705717/?ref_=fn_nm_nm_1,3.0,99.0,10.0,0.1084242968003542
Chris Redd,56,0.8035714285714286,0.125,0.05357142857142857,2017.0,2021.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm5412083/?ref_=fn_nm_nm_1,0.0,84.0,0.0,0.102335822982452
Jeff Richards (III),44,0.5,0.11363636363636363,0,2001.0,2004.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0724145/?ref_=fn_nm_nm_1,0.0,50.0,0.0,0.0961560749768901
Rob Riggle,242,0.6983471074380165,0.045454545454545456,0.02066115702479339,2004.0,2005.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm1443527/?ref_=fn_nm_nm_1,0.0,21.0,0.0,0.088708955745613
Ann Risley,14,0.21428571428571427,0.14285714285714285,0,1980.0,1981.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0728315/?ref_=fn_nm_nm_1,0.0,12.0,0.0,0.0925753303348791
Chris Rock,432,0.7569444444444444,0.10648148148148148,0.05555555555555555,1990.0,1993.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,https://www.imdb.com/name/nm0001674/?ref_=fn_nm_nm_1,0.0,58.0,16.0,0.1009351914427536
Jon Rudnitsky,28,0.7857142857142857,0.07142857142857142,0,2015.0,2016.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm4339544/?ref_=fn_nm_nm_1,0.0,21.0,0.0,0.088708955745613
Maya Rudolph,238,0.8613445378151261,0.2773109243697479,0.13865546218487396,2000.0,2007.0,7.0,0.0,0.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,https://www.imdb.com/name/nm0748973/?ref_=fn_nm_nm_1,0.0,162.0,6.0,0.1423020737273493
Andy Samberg,261,0.9118773946360154,0.21839080459770116,0.11877394636015326,2005.0,2012.0,7.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm1676221/?ref_=fn_nm_nm_1,17.0,140.0,4.0,0.1165244176484884
Paul Shaffer,183,0.6721311475409836,0.13114754098360656,0.060109289617486336,1979.0,1980.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm0787238/?ref_=fn_nm_nm_1,0.0,27.0,33.0,0.0903683204772669
Molly Shannon,252,0.7738095238095238,0.21428571428571427,0.051587301587301584,1995.0,2001.0,7.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,https://www.imdb.com/name/nm0788340/?ref_=fn_nm_nm_1,0.0,117.0,7.0,0.1116613289299779
Jenny Slate,128,0.6640625,0.046875,0,2009.0,2010.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm2809577/?ref_=fn_nm_nm_1,0.0,22.0,0.0,0.0888349141245834
Pamela Stephenson,70,0.38571428571428573,0.07142857142857142,0,1984.0,1985.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0827298/?ref_=fn_nm_nm_1,0.0,18.0,0.0,0.0933310806087017
Ben Stiller,502,0.6693227091633466,0.045816733067729085,0.037848605577689244,1989.0,1990.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,https://www.imdb.com/name/nm0001774/?ref_=fn_nm_nm_1,0.0,13.0,3.0,0.0877834354827433
Julia Sweeney,124,0.7258064516129032,0.24193548387096775,0.024193548387096774,1990.0,1994.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0842140/?ref_=fn_nm_nm_1,0.0,78.0,1.0,0.1041074549649274
Kenan Thompson,197,0.7411167512690355,0.233502538071066,0.06598984771573604,2003.0,2021.0,18.0,0.0,0.0,18.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0860380/?ref_=fn_nm_nm_1,0.0,367.0,1.0,0.1548474879531018
Danitra Vance,19,0.6842105263157895,0.2631578947368421,0,1985.0,1986.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0888503/?ref_=fn_nm_nm_1,0.0,17.0,1.0,0.0932325044860292
Melissa Villaseñor,63,0.7301587301587301,0.12698412698412698,0.047619047619047616,2016.0,2021.0,5.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm3830257/?ref_=fn_nm_nm_1,0.0,105.0,0.0,0.106544778728065
Dan Vitale,12,0.4166666666666667,0.16666666666666666,0.08333333333333333,1985.0,1986.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0899865/?ref_=fn_nm_nm_1,0.0,3.0,0.0,0.0864417049241453
Nancy Carell,29,0.896551724137931,0.2413793103448276,0.034482758620689655,1995.0,1996.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0909391/?ref_=fn_nm_nm_1,0.0,17.0,5.0,0.0933420335112209
Michaela Watkins,156,0.6858974358974359,0.03205128205128205,0,2008.0,2009.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm1143861/?ref_=fn_nm_nm_1,0.0,15.0,0.0,0.0879532054717904
Damon Wayans,142,0.6619718309859155,0.056338028169014086,0.035211267605633804,1985.0,1986.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm0001834/?ref_=fn_nm_nm_1,0.0,11.0,2.0,0.0875041364685045
Patrick Weathers,20,0.2,0.05,0,1980.0,1981.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0915778/?ref_=fn_nm_nm_1,0.0,10.0,0.0,0.0873234135769383
Noël Wells,44,0.5681818181818182,0.1590909090909091,0.022727272727272728,2013.0,2015.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm3644706/?ref_=fn_nm_nm_1,0.0,21.0,0.0,0.089772785532847
Brooks Wheelan,44,0.7727272727272727,0.13636363636363635,0.022727272727272728,2013.0,2014.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm5120390/?ref_=fn_nm_nm_1,0.0,21.0,0.0,0.088708955745613
Kristen Wiig,247,0.7773279352226721,0.20242914979757085,0.09716599190283401,2005.0,2012.0,7.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,https://www.imdb.com/name/nm1325419/?ref_=fn_nm_nm_1,0.0,139.0,7.0,0.1144324132673273
Casey Wilson,177,0.7627118644067796,0.062146892655367235,0.005649717514124294,2008.0,2009.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm1988111/?ref_=fn_nm_nm_1,0.0,30.0,0.0,0.0909064109435809
Sasheer Zamata,93,0.7204301075268817,0.0967741935483871,0.021505376344086023,2014.0,2017.0,4.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm3550886/?ref_=fn_nm_nm_1,0.0,74.0,0.0,0.1023262391927478
Alan Zweibel,61,0.9016393442622951,0.32786885245901637,0.18032786885245902,1980.0,1980.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0958993/?ref_=fn_nm_nm_1,109.0,52.0,0.0,0.1057461956141782
Tim Kazurinsky,74,0.47297297297297297,0.08108108108108109,0,1981.0,1984.0,4.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0443730/?ref_=fn_nm_nm_1,60.0,57.0,4.0,0.1087733914380928
Laura Kightlinger,97,0.7422680412371134,0.061855670103092786,0.041237113402061855,1994.0,1995.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0452716/?ref_=fn_nm_nm_1,20.0,19.0,1.0,0.0908940597981869
Tim Robinson,45,0.7777777777777778,0.28888888888888886,0.1111111111111111,2012.0,2016.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm4200503/?ref_=fn_nm_nm_1,68.0,21.0,0.0,0.0363432161916524
Tony Rosato,99,0.25252525252525254,0.04040404040404041,0,1981.0,1982.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0711014/?ref_=fn_nm_nm_1,21.0,20.0,1.0,0.0972043298921022
Adam Sandler,407,0.8058968058968059,0.16216216216216217,0.0687960687960688,1990.0,1995.0,5.0,3.0,0.0,5.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,https://www.imdb.com/name/nm0001191/?ref_=fn_nm_nm_1,60.0,87.0,10.0,0.1107802661322271
Rob Schneider,257,0.6926070038910506,0.12062256809338522,0.038910505836575876,1989.0,1994.0,5.0,3.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0001705/?ref_=fn_nm_nm_1,56.0,80.0,4.0,0.0922523362308032
Harry Shearer,338,0.6005917159763313,0.047337278106508875,0.011834319526627219,1979.0,1985.0,6.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0733427/?ref_=fn_nm_nm_1,38.0,38.0,2.0,0.044969141556555
Martin Short,303,0.7392739273927392,0.13861386138613863,0.06930693069306931,1984.0,1985.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,https://www.imdb.com/name/nm0001737/?ref_=fn_nm_nm_1,18.0,25.0,4.0,0.0964909929854815
Sarah Silverman,418,0.7081339712918661,0.06937799043062201,0.05502392344497608,1993.0,1994.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm0798971/?ref_=fn_nm_nm_1,20.0,18.0,1.0,0.0907681014192165
Robert Smigel,146,0.9041095890410958,0.3082191780821918,0.1506849315068493,1985.0,2008.0,23.0,22.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0806912/?ref_=fn_nm_nm_1,425.0,107.0,140.0,0.1003752711628618
David Spade,307,0.8078175895765473,0.1563517915309446,0.06840390879478828,1989.0,1996.0,7.0,3.0,0.0,6.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,https://www.imdb.com/name/nm0005450/?ref_=fn_nm_nm_1,57.0,79.0,44.0,0.1004698096059285
Jason Sudeikis,218,0.7981651376146789,0.1651376146788991,0.04128440366972477,2003.0,2013.0,10.0,2.0,0.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0837177/?ref_=fn_nm_nm_1,37.0,177.0,4.0,0.1180002913005989
Jason Sudeikis,218,0.7981651376146789,0.1651376146788991,0.04128440366972477,2003.0,2005.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm0837177/?ref_=fn_nm_nm_1,37.0,177.0,4.0,0.0289896530027265
Jason Sudeikis,218,0.7981651376146789,0.1651376146788991,0.04128440366972477,2003.0,2013.0,10.0,2.0,0.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0837177/?ref_=fn_nm_nm_1,37.0,177.0,4.0,0.1180002913005989
Jason Sudeikis,218,0.7981651376146789,0.1651376146788991,0.04128440366972477,2003.0,2005.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.imdb.com/name/nm0837177/?ref_=fn_nm_nm_1,37.0,177.0,4.0,0.0289896530027265
Terry Sweeney,23,0.6521739130434783,0.17391304347826086,0,1980.0,1986.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0842202/?ref_=fn_nm_nm_1,31.0,18.0,1.0,0.027412551560206
Bowen Yang,32,0.6875,0.21875,0.15625,2019.0,2021.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm6299248/?ref_=fn_nm_nm_1,0.0,42.0,0.0,0.092417911491226
Anne Beatts,45,0.7111111111111111,0.3111111111111111,0.06666666666666667,1975.0,1980.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0064186/?ref_=fn_nm_nm_1,107.0,41.0,0.0,0.0233750087390179
Lorne Michaels,283,0.8798586572438163,0.7314487632508834,0.3957597173144876,1975.0,2021.0,41.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0584427/?ref_=fn_nm_nm_1,815.0,6.0,894.0,1.0
Marilyn Suzanne Miller,20,0.9,0.55,0.05,1975.0,1995.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0588897/?ref_=fn_nm_nm_1,137.0,20.0,1.0,0.0264993824427303
Herbert Sargent,21,0.7619047619047619,0.5238095238095238,0.19047619047619047,1975.0,1995.0,16.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.imdb.com/name/nm0765109/?ref_=fn_nm_nm_1,330.0,0.0,0.0,0.0755303127403229
